,Status,City,State,ServicePop,Restoration
487,Moratorium,La Grande,Oregon,13245,N
488,Moratorium,Lincoln,Oregon,20830,N
489,Moratorium,McMinnville,Oregon,33896,N
490,Moratorium,Medford Water Commission,Oregon,91000,N
491,Moratorium,Ontario,Oregon,14465,N
492,Moratorium,Portland,Oregon,614059,Y
493,Moratorium,Redmond,Oregon,27427,N
494,Moratorium,Seal Water District,Oregon,5500,N
495,Moratorium,Wood Village,Oregon,3907,N
496,Moratorium,Aliquippa,Pennsylvania,15685,Y
497,Moratorium,Antrim Township Municipal Authority,Pennsylvania,975,N
498,Moratorium,Bethlehem,Pennsylvania,117259,N
499,Moratorium,Bucks County Water & Sewer Authority,Pennsylvania,52621,N
500,Moratorium,Cambria County (all utilities),Pennsylvania,146064,N
501,Moratorium,Capital Region Water,Pennsylvania,66540,Y
502,Moratorium,Chester Water Authority,Pennsylvania,140437,N
503,Moratorium,Easton Suburban Water Authority,Pennsylvania,96867,N
504,Moratorium,Erie City Water Authority,Pennsylvania,220001,N
505,Moratorium,Lancaster,Pennsylvania,120000,N
506,Moratorium,Lehigh County Authority- Allentown,Pennsylvania,118000,N
507,Moratorium,Lower Swatara Municipal Authority,Pennsylvania,8836,N
508,Moratorium,Monroeville Municipal Authority ,Pennsylvania,48500,Y
509,Moratorium,North Penn Water Authority,Pennsylvania,91941,N
510,Moratorium,North Wales Water Authority,Pennsylvania,72496,N
511,Moratorium,Philadelphia,Pennsylvania,1600000,Y
513,Moratorium,Reading Area Water Authority,Pennsylvania,87000,Y
514,Moratorium,Statewide (regulated),Pennsylvania,3576605,N
515,Moratorium,West View Water Authority,Pennsylvania,2.00E+05,N
516,Moratorium,Wilkinsburg-Penn Joint Water Authority,Pennsylvania,125000,N
517,Moratorium,Wyoming Valley Sanitary Authority,Pennsylvania,117259,N
518,Moratorium,Statewide (all),Puerto Rico,3709552,N
519,Moratorium,East Providence,Rhode Island,48688,N
520,Moratorium,Providence,Rhode Island,310060,N
521,Moratorium,Statewide (regulated),Rhode Island,38557,N
522,Moratorium,Charleston,South Carolina,234333,N
523,Moratorium,Columbia,South Carolina,304257,N
524,Moratorium,Joint Municipal Water & Sewer Commission,South Carolina,34317,N
525,Moratorium,Spartanburg,South Carolina,125375,N
526,Moratorium,Statewide (Regulated),South Carolina,318211,N
527,Moratorium,Brookings,South Dakota,22298,N
528,Moratorium,Rapid City,South Dakota,66481,N
529,Moratorium,Sioux Falls,South Dakota,190326,N
531,Moratorium,Brentwood ,Tennessee,29513,N
532,Moratorium,Clarksville,Tennessee,215421,N
533,Moratorium,Gallatin,Tennessee,50162,N
534,Moratorium,Gatlinburg,Tennessee,7958,N
535,Moratorium,Knoxville,Tennessee,241714,N
536,Moratorium,Memphis,Tennessee,699244,N
537,Moratorium,Nashville,Tennessee,702407,N
538,Moratorium,Oak Ridge ,Tennessee,38162,N
539,Moratorium,Statewide (regulated),Tennessee,216731,N
540,Moratorium,Amarillo,Texas,196429,N
541,Moratorium,Arlington ,Texas,383950,N
542,Moratorium,Austin,Texas,981783,N
544,Moratorium,Buda,Texas,11530,N
545,Moratorium,Dallas,Texas,1286380,N
546,Moratorium,Denton,Texas,131712,N
547,Moratorium,Edinburg,Texas,77100,N
548,Moratorium,El Paso,Texas,672538,N
549,Moratorium,Fort Worth,Texas,853762,N
550,Moratorium,Frisco West Water Control District,Texas,159000,N
551,Moratorium,Graham,Texas,8792,N
552,Moratorium,Harlingen,Texas,85900,N
553,Moratorium,Houston,Texas,2319603,N
555,Moratorium,Leander,Texas,43764,N
556,Moratorium,Lubbock,Texas,266263,N
557,Moratorium,Mission,Texas,77058,N
558,Moratorium,Palestine,Texas,27477,N
560,Moratorium,San Antonio,Texas,1999472,N
561,Moratorium,Stamford,Texas,3126,N
562,Moratorium,Statewide (regulated),Texas,894284,N
563,Moratorium,Temple,Texas,85884,N
564,Moratorium,Wichita Falls,Texas,103000,Y
565,Moratorium,Hardin,Texas ,4859,N
566,Moratorium,Salt Lake City,Utah,343850,N
567,Moratorium,Sandy City,Utah,99750,N
568,Moratorium,Burlington,Vermont,42000,N
569,Moratorium,South Burlington,Vermont,15296,N
570,Moratorium,Statewide (regulated),Vermont,66564,N
571,Moratorium,Virgin Islands Water and Power Authority ,Virgin Islands,69000,N
572,Moratorium,Albemarle County Service Authority,Virginia,66983,N
573,Moratorium,Amherst,Virginia,2190,N
574,Moratorium,Arlington County,Virginia,215000,N
575,Moratorium,Blacksburg,Virginia,34578,N
576,Moratorium,Chesapeake,Virginia,199030,N
577,Moratorium,Chesterfield,Virginia,305392,Y
578,Moratorium,Danville,Virginia,43055,N
579,Moratorium,Fairfax Water,Virginia,1074422,Y
580,Moratorium,Goochland,Virginia,3165,Y
581,Moratorium,Hanover,Virginia,71000,Y
582,Moratorium,Henrico County,Virginia,292000,Y
583,Moratorium,Leesburg,Virginia,61540,N
584,Moratorium,Loudoun,Virginia,286202,N
585,Moratorium,Lynchburg,Virginia,80995,N
586,Moratorium,Manassas,Virginia,41757,N
587,Moratorium,Martinsville,Virginia,13600,N
588,Moratorium,Newport,Virginia,407300,N
589,Moratorium,Prince William County Service Authority,Virginia,283001,N
590,Moratorium,Richmond,Virginia,197000,Y
591,Moratorium,Spotsylvania County,Virginia,84390,Y
